text,keyword,label
 we can`t wait to see you too! pls come back to iowa it isn`t the same at the theatre,we can`t wait to see you,positive
 Hey! Polka dots or black dress. Both very glam. Mobile twitter`s a bit **** at the mo.,Hey! Polka dots or black dress. Both very glam. Mobile twitter`s a bit **** at the mo.,neutral
I need food. It took an hour to get to work this morning. Leaving me no time to get my morning coffee and bagel,I need food. It took an hour to get to work this morning. Leaving me no time to get my morning coffee and bagel,neutral
HAPPY MOTHER`S DAYYY!,HAPPY MOTHER`S DAYYY!,positive
 what? whyyyy?,what? whyyyy?,neutral
" super but I caught a cold on the plane.  not as far forward in line as I`d like, but the extra sleep was dearly needed.","super but I caught a cold on the plane.  not as far forward in line as I`d like, but the extra sleep was dearly needed.",neutral
on the phone w. Chantellie ! <3,on the phone w. Chantellie ! <3,neutral
_Diva_Dee26 teehee Im glad to entertain ye,Im glad to entertain ye,positive
is going to work an amazing charity event for big brothers big sisters. i don`t mind working if its for a good cause,amazing,positive
"Har Har, #swineflu is everywhere: http://twitpic.com/4jb4o  (via )","Har Har, #swineflu is everywhere: http://twitpic.com/4jb4o  (via )",neutral
time to get to work. i`m already starting the day off bad. missed the UP screening  this morning at the el capitan,the day off bad. missed the UP screening  this morning at the el capitan,negative
 I think is The parent trap & High school musical!!,I think is The parent trap & High school musical!!,neutral
just woke up...feelin a lil better  <3,better,positive
  thanks!,thanks,positive
Starting to spoil my pug since her brother Max passed away on Tuesday. We miss him.,We miss him.,negative
"_0407 all over the place it was  boo, dual voice challenge was too challenging","_0407 all over the place it was  boo, dual voice challenge was too challenging",neutral
 prolly E71... I can`t think of anything else and I`m unfortunately not a Singtel customer,unfortunately,negative
My Chemical Romance Official Sodahead Profile  http://www.sodahead.com/mychemicalromance/,My Chemical Romance Official Sodahead Profile  http://www.sodahead.com/mychemicalromance/,neutral
miss 16`th,miss 16`th,neutral
"Wow, such a crazy night of ever changing emotions! I liked it tho",I liked it tho,positive
Morning...I woke up to watch  on the Today show. You rocked it girl. Wish I could have been there. So close but so far away,Morning...I woke up to watch  on the Today show. You rocked it girl. Wish I could have been there. So close but so far away,neutral
which was so UNLIKE the POs in oakland. they hated me,they hated me,negative
@_supernatural_ http://twitpic.com/6695k - Awwww poor boys! *cries* So sad..,Awwww,negative
My boss called me anerexic,anerexic,negative
 Tataindicom is not as good as Tatasky  Airtel broadband is better.,Tataindicom is not as good as Tatasky  Airtel broadband is better.,positive
is home whoott. Happy Mother`s Day Madre,Happy,positive
has finally started his serious revision - has just completed an english BG mock,has finally started his serious revision - has just completed an english BG mock,neutral
 oh great!  hope you`ll have a blast there! ;),great!,positive
i feel like I`m on house arrest.,i feel like I`m on house arrest.,negative
I need some cheering up,I need some cheering up,neutral
Joan is such a legend! I can`t wait for apprentice finale!!! im so addicted i think i need a rehab!! LOL tweet later..  xoxo,legend! I,positive
I really miss my phone  i cant wait till my new one comes,I really miss my phone,negative
"  It`s a pleasure , Will be wary of girlie marshmallows from now on lol  You might have saved my life .lol ;-)",It`s a pleasure,positive
Dinner=Buffalo burger with provolone cheese melted on top with beefsteak tomatoes and spinach. Divine. Pic on facebook to come.,Dinner=Buffalo burger with provolone cheese melted on top with beefsteak tomatoes and spinach. Divine. Pic on facebook to come.,neutral
" bummer, bro, sorry to hear that",sorry to hear that,negative
how do I vote for Mr twitter universe??? I`m a bit stuck,stuck,negative
got a little scare tonight. couldnt fall back to sleep. so i started working on my digital imaging project. looking good.,got a little scare tonight. couldnt fall back to sleep. so i started working on my digital imaging project. looking good.,neutral
sitting in bed thinking,sitting in bed thinking,neutral
will be attending CIC`s parents` orientation tomorrow...need to wake up early,will be attending CIC`s parents` orientation tomorrow...need to wake up early,neutral
http://twitpic.com/4w269 - My 789 pacman pic,My 789 pacman pic,neutral
" it was a crazy time, nothing to be ashamed of that you were timid. you were osocute in your bashfulness","it was a crazy time, nothing to be ashamed of that you were timid. you were osocute in your bashfulness",neutral
 haha! nice! Have fun doll! Hopefully I`ll see ya soon! I miss ur face!,haha! nice! Have fun doll! Hopefully I`ll see ya soon! I miss ur face!,positive
 you are such a beautiful bride! you`re gonna love the married life. it absolutely rocks! congrats to you both.,you are such a beautiful bride!,positive
_Doll Yes! I live in Milwaukee and would love to attend a closing talk,love,positive
 Thats good!  Keep it up guys! Would love to come down and visit sonetime,Thats good!  Keep it up guys! Would love to come down and visit sonetime,positive
just met Sarah Kelly... wow... she is an amazing woman of God!  and she gave me a free t-shirt!  gotta love free merch,amazing,positive
  what I said!    I`ll have to think about it and try again!,what I said!    I`ll have to think about it and try aga,neutral
it should be.. not a wink >.<,it should be.. not a wink >.<,neutral
Just got out of work,Just got out of work,neutral
 Poor dear. Your fellow **** mavens have been there.  What gym do you belong to? PEAC?,Poor,negative
Ugh. Waiting for a visitors pass to get on post.  taking FOREVER!,taking FOREVER!,negative
Carol Vorderman cancelled her interivew with me... so now I have no proof against all you non-believers!,I have no proof against all you non-believers!,negative
 awe thanks,awe thanks,positive
 I really want a Shish kebab... Going to have to settle for toast,I really want a Shish kebab... Going to have to settle for toast,neutral
"I feel funny. Hmmp, better be an amazing **** day. why not?  I LOVE HOW I KNOW SAMMY ROVIN GOT A TEXT ABOUT THIS TWEET <3333",funny.,positive
"'Its a calander.'Calendar!' COLLANDER!' Bahaha, That part was hilarious, of course, the whole thing was hilarious","That part was hilarious, of course, the whole thing was hilarious",positive
 DEMI YOU WERE SO PRETTY WITH YOU`RE BANGS AND EVERYTHING .YOU LOOK TOO GROWN UP IN THIS PICTURE  i liked your bangs.,i liked,positive
My computer is SO slooowww this morning.  I think it`s a sign that I should go home and play in my yard.,My computer is SO slooowww this morning.  I think it`s a sign that I should go home and play in my yard.,neutral
$4 lonestar pitchers at  ?  If only I wasn`t still recovering from last weekend`s bout of irresponsible gluten consumption,f irresponsible,negative
My back is soooooo hurting.,hurting.,negative
" take it. mmm, definitely.","take it. mmm, definitely.",neutral
"_beli haha yeah u did, oh well theres always next yr  chin up princess hehe","haha yeah u did, oh well theres always next yr  chin up princess hehe",neutral
 hi Nick! I really like the serie JONAS  it`s awesome! See you soon in the concert! kisses - Marta,it`s awesome!,positive
"got three grades so far: Math11 -> B , Acct1B -> A, Bio19 -> A. Good times to be had. Sad about the math grade though.","got three grades so far: Math11 -> B , Acct1B -> A, Bio19 -> A. Good times to be had. Sad about the math grade though.",neutral
" Urm, ouch, that sucks. You need crutches?  What happened? I hope you get/feel better soonest!","Urm, ouch, that sucks. You need crutches?  What happened? I hope you get/feel better soonest!",neutral
OMG..5 days till 1st state exam!,OMG..5 days till 1st state exam!,neutral
I am sick  but Ians coming over so its all good ;),I am sick  but Ians coming over so its all good ;),neutral
 *hugs hugs hugs* I`m glad you`re feeling better.,* I`m glad,positive
"rain, rain, rain. wow i actually LOVE the rain....",LOVE,positive
Guinness got 2 `new` toys from mom and dads house.  Hooray for free stuff,Hooray,positive
But he has an out of date script. That`s really bad. So midway thru his pitch we catch it. He gets all butthurt and storms out. His loss.,That`s really bad.,negative
 hahaha that was funnyy!,funnyy!,positive
" Yep they are open, it`s Sunday hours tho","Yep they are open, it`s Sunday hours tho",neutral
 lol.well.hope you find someone to give you a massage  wish i could but i`m half a world away lol,.hope,positive
whopee TGIF   that was more fun when i had a job,as more fun,positive
" was it for the vma`s? i guess so.. also wanna go to london in june for demi lovato concert, but no one`s going with me",but no one`s going with me,negative
May the 4th be with me today as I round off the weekend with one more session - happy 4th y`all from the Fintster,May the 4th be with me today as I round off the weekend with one more session - happy 4th y`all from the Fintster,positive
Awwwwwwww man my baby dried up.,Awwwwwwww man my baby dried up.,negative
I did that once,I did that once,neutral
_Read perhaps it is all those background apps!,_Read perhaps it is all those background apps!,neutral
god... im suffering greatly... having no hair + sitting in blazing sunshine = v v bad sunburn,v v bad sunburn,negative
 dope background,dope background,positive
"@_Tanyya :O  awww leave off, shes ace! Shes one of my fav actresses!","awww leave off, shes ace! Shes one of my fav actresses!",neutral
@_micster  How the hell does your hair not fall out constantly?,hell,negative
Chatted with my old schoolmates. Awww  I miss my Highschool.,miss,negative
 rentaphone  yesy have,rentaphone  yesy have,neutral
Applying for part time jobs.  LMAO Hopefully someone needs some help. ~AP~,Hopefully,positive
Roommate is sssnoring :/ And my throat is so dry,Roommate is sssnoring :/ And my throat is so dry,negative
sick on wifes bday= double,sick on wifes bday=,negative
 what if we are in England?  x,what if we are in England?  x,neutral
" unfort, i can`t DM you b/c ur not following me","unfort, i can`t DM you b/c ur not following me",neutral
"Working late at night on a Dell notebook, Dell`s quality has gone down hill, warrenty service sucks too, poor people  buy a Mac instead","quality has gone down hill,",negative
i want candy!!!,i want candy!!,neutral
Varsity Fanclub will never be the same!!,Varsity Fanclub will never be the same!!,neutral
_ Hahaaaha,_ Hahaaaha,neutral
bout to take a shower.... a cold shower,bout to take a shower.... a cold shower,neutral
Just watched 'Marley & Me.' Cute movie. Going to watch 'Twilight' soon!  Love it!,Cute,positive
" --sorry for running over uncle Terry, but he just wasn`t living up to his potential. expecting more from his next return.",#NAME?,negative
dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can`t watch and code,dammit! hu,negative
Flypside - When it was good..i must creat my presentation in english  by guys ?,good..,positive
work work work!,work work work!,neutral
  requested the date - and he is the guest of honour after all...,requested the date - and he is the guest of honour after all...,neutral
"Writers:'They just make me wonder,why are you foisting all the little pipe dreams stories in your head onto other people?' I like writing","Writers:'They just make me wonder,why are you foisting all the little pipe dreams stories in your head onto other people?' I like writing",neutral
" I`m sowwy.   It sucks, I know, I`ve been there. Yay for half days though!",It suck,negative
 Miss you!!,Miss,negative
 gables apartments has corporate and their nice.,nice.,positive
Finally reunited with my Hunny bunny_0802 I have him for a few days b4 he leaves me again for another week away @ work  night!,reunited,positive
"Sometimes, twitter makes me feel like an outsider..",outsider..,negative
" Hey, Wahts happening in #coffeclub..? I didnt have coffee for two days now  ","Hey, Wahts happening in #coffeclub..? I didnt have coffee for two days now",neutral
nature has just called me  BRB,nature has just called me  BRB,neutral
"HALLELUJAH! I`ve finally finished my Careers assignment! The feeling of finishing a task is great, you have no idea. Or maybe you do. lol","great,",positive
" Think wearing bermudas at the cinema wasn`t a good idea after all, but outside was humid like cwazy!",a wasn`t a good,negative
new on twitter,new on twitter,neutral
"I love Mindy, She is my favorite employee","I love Mindy, She is my favorite employee",positive
is sad she is going to miss the Dream Team party... but i didnt RSVP in time.,sad,negative
_christie keep the faith it`ll be over soon,keep the faith it`ll be over soon,neutral
"Headed home, dad duty tonight. Might take the kids to the course again. Although my boys took me for $11 last night in a chipping contest","Headed home, dad duty tonight. Might take the kids to the course again. Although my boys took me for $11 last night in a chipping contest",neutral
Leaving SF soon. I just might cry.,Leaving SF soon. I just might cry.,neutral
Man with a great sense of humour... Venky Pachad?,Man with a great sense of humour..,positive
" oh, sorry to hear about this too  sad",sad,negative
Happy to have a Sunday off from work,Happy,positive
aww bless her  give her a chance ..,aww bless her  give her a chance ..,positive
 is it in crowntown? i think i may just meet you there? let me get ready and ill let you know,is it in crowntown? i think i may just meet you there? let me get ready and ill let you know,neutral
I is goin to bed now,I is goin to bed now,neutral
 I`m not goin have a way out there til b.dix gets off  but we swimming tomorrow !,I`m not goin have a way out there til b.dix gets off  but we swimming tomorrow,neutral
 'Thank god you didn`t go **** until after you had me...','Thank god you didn`t go **** until after you had me...,neutral
This is California it has to be sunny... But its not ::::: makes me kinda sad,sad,negative
my new picture won`t upload!!!,my new picture won`t upload!!!,negative
She had a boyfriend,She had a boyfriend,neutral
ans so the lion.......kicked the dogs ****!!!!,kicked,negative
walking by the water in annapolis with froyo and no shoes,walking by the water in annapolis with froyo and no shoes,neutral
", in about two hours I`m setting out on a 600-mile drive home. Mostly I`m hoping it goes quickly.",Mostly I`m hoping it goes quickly.,positive
_Phelps hello michael  have a nice day,have a nice day,positive
It`s Friday and I don`t have a job for the weekend,It`s Friday and I don`t have a job for the weekend,neutral
 love it!,love it!,positive
I got overexcited about pizza and burned my mouth.,burned,negative
 thank you. We had a blast,thank you. We had a blast,positive
Why don`t we close the library due to the great weather?  And the ac isn`t working  #fb,great,positive
_Obsession lol but its only gonna be 80  the water will prob be cold as heck...,cold as heck...,negative
as we were disembarking @ Tswassen we saw a pod of killer whales ^^ i`d just finished pointing out that i`d never seen bc killer whales.,as we were disembarking @ Tswassen we saw a pod of killer whales ^^ i`d just finished pointing out that i`d never seen bc killer whales.,neutral
" Too easy! Happy Mother`s Day, to a great mom!","Happy Mother`s Day,",positive
At t.g.i fridays  With some of my favorite people ever.. We made a reservation for 20 and we have like 50 people here. Hahah,favorite,positive
  I love your tweets... Your sweet,I love your tweets... Your sweet,positive
I smell cake but I don`t see any cake on the oven!,I smell cake but I don`t see any cake on the oven!,neutral
I am the queen of losing things. Important things like keycards and bus passes.,losing,neutral
GREG NOOOOO DON LEAVE ME  U SHUD HAVE GONE THROOOOOOOOOOOOOO!!!!!! im gonna find u restaurant don`t worry lol  cry cry cry,GREG NOOOOO DON LEAVE ME  U SHUD HAVE GONE THROOOOOOOOOOOOOO!!!!!! im gonna find u restaurant don`t worry lol  cry cry cry,negative
Going to be a strange weekend. Probably srtarting off with working til midnight tonight,Going to be a strange weekend.,negative
Why do you hurt me? Does it bring you joy to see me cry? You know I love you more then anything and yet u break my heart everyday!,love,positive
 A 25 year old zebra with wind? Lol,A 25 year old zebra with wind? Lol,neutral
stupid playstation! stupid controllers don`t work so I can`t play kingdom hearts.,stupid,negative
@_juliamarie people just don`t appreciate nature. it`s sad. did the lil dude survive?,sad.,negative
 ugly. What programmes do you have open?,ugly.,negative
 That would panic me a little!  Maybe you can read on an orbitron at the gym like I do...when all else fails?!?,panic,negative
 you called me? didn`t get that.  nest time for sure. maybe i`ll come to LA soon. i hella wana go to Disneyland.,you called me? didn`t get that.  nest time for sure. maybe i`ll come to LA soon. i hella wana go to Disneyland.,neutral
so much to do by 1 pm. i don`t think i`m going to get it all done,i don`t think i`m going to get,negative
" I love how Alex Pardee colours his picturs, so differnt",I love,positive
gooooood morning,gooooood morning,positive
goodnight all in the twitterverse,goodnight,positive
 awwwwweeee nick,awwwwweeee nick,neutral
At hospital.. Uncle is in surgury after heart attack,surgury after heart attack,negative
 I see. I guess there must be lots of Hawks fans in Texas on twitter.,I see. I guess there must be lots of Hawks fans in Texas on twitter.,neutral
 Thats ok...ur a good person + My Idol soo good people deserve sum good comments..hows the weather ova der --London is cold,good person,positive
eating maccies,eating maccies,neutral
constantly looking at the clockkk..come on 11pm!,constantly looking at the clockkk..come on 11pm!,neutral
 yup .. sad eh .. Betty man .. it should have been betty,sad,negative
" Well, yeah. But my mom doesn`t wanna drive all the way to Sac if we were that far away.","Well, yeah. But my mom doesn`t wanna drive all the way to Sac if we were that far awa",neutral
"And I`m back, from a sooper dooper, extra bharia, extra dhumchik two day stay at mom`s place, yay!  It`s a fun fun feelin`",It`s a fun fun feelin`,positive
 haven`t worked there for a long time but kinda miss it! I miss anna  seen her? i`ll prob be in SLO most of the summer! you?,miss,negative
 I`m going to jordan & jeffs wedding next weekend in atl.,I`m going to jordan & jeffs wedding next weekend in atl.,neutral
" ew, tongue kiss","ew, tongue kiss",neutral
Beautiful day on Ocracoke just hope the thunderstorms stay away this afternoon...it`s not looking good,it`s not looking good,negative
"it gets worse every year and 2010/2011 will be the worst. oh, and 6 months today!",gets worse,negative
Walmart opening its first store in Amritsar tomorrow (of all places)...the horror..hoping its limited to wholesale,hoping it,positive
yay dad agreed to pay for my tuition and equipment! yipee not till nxt jan tho,yay dad agreed to pay for my tuition,positive
"I BET BLACK PLANET, LOL, I DIDNT HAVE A PROBLEM WITH IT, BUT SHE WAS UGLY.","I BET BLACK PLANET, LOL, I DIDNT HAVE A PROBLEM WITH IT, BUT SHE WAS UGLY.",neutral
has just booked her appointment to give blood 18:20pm 2nd June! Scared,Scared,negative
"i want to see go:audio, someone take me please?  5DAYS(L)","i want to see go:audio, someone take me please?  5DAYS(L)",neutral
Just chillin`.. I`m a bit bored boohoo  !,Just chillin`.. I`m a bit bored boohoo  !,neutral
I miss you,I miss you,negative
EVERYONE KEEP CHECKING DEMISTYLESOURCE.COM....NEW UPDATE COMING SOON!,EVERYONE KEEP CHECKING DEMISTYLESOURCE.COM....NEW UPDATE COMING SOON!,neutral
its sad that the rats are becoming aggressive against the guinea pigs. I have to seperate them.,its sad that the rats are becoming aggressive against the guinea pigs. I have to seperate them.,negative
Great to be sunbathing in my garden.  And this afternoon I`ll be watching ADO to see if they can win this important match (on tv).,Great,positive
Daddy just left.................without me  http://yfrog.com/13pdrmj,Daddy just left.................without me  http://yfrog.com/13pdrmj,negative
" http://twitpic.com/4jjlc - I love it! If it`s pouring rain, I still want to go.",love,positive
chillin after a LOOOONNNGGG day of basketball  hella tired sleepy time zzzz,tired,negative
 i`ll try sort that fabric out for you today...been a busy bee!,i`ll try sort that fabric out for you today...been a busy bee!,neutral
I`m really happy...and drunk  but really happy,I`m really happy...and drunk  but really happy,positive
"just got to kansas city and excited for a fun weekend with my family, my sis, parker and josh",excited for a fun weekend wi,positive
Tom graduated today,Tom graduated today,neutral
just got back home... bored now,just got back home... bored now,neutral
" hmm sorry, I went mia there","sorry,",negative
why the hell is youtube not working???  NO NO  NO NO   NO  NO NO NNO NO,why the hell,negative
words to live by  ? http://blip.fm/~5z3ij,words to live by  ? http://blip.fm/~5z3ij,neutral
"   well, I couldn`t get a real clear shot, but I`ve got the best I could...silly people walking through the admitting of the ER...",he bes,positive
 dw you never will  ****,dw you never will  ****,neutral
 i didnt get the joke,i didnt get the joke,negative
 Yeah. About **** time. My film SLR just sits there quietly being ignored. It`s time to step up!,ignored.,negative
 where`s the love?,where`s the love?,neutral
 they`re getting back together for one more album.. or so i heard.,they`re getting back together for one more album.. or so i heard.,neutral
_normal Shucks!  Sorry!  Sometimes I get wrapped up in FB and forget to check  how you doin`?,Sorry!,negative
I missed the  announcement   Something about being flow out for a concert? Can anyone fill me in?,I missed the  announcement   Something about being flow out for a concert? Can anyone fill me in?,neutral
Happy mama`s day to all the mamas.,Happy mama`s day to all the mamas.,positive
_DESIGN allright! Looking forward to it..,Looking forward,positive
@_erica /hugs those are the worst. Mine used to be really bad on the first day..sometimes can`t even get out of bed.,those are the worst. Mine used to be really bad on the first day..sometimes can`t even get out of bed.,negative
" yes the new one, I adore both though  who doesn`t love Vincent!!!",I adore both though  who doesn`t love Vincent!!!,neutral
 sorry love had no left overs  but come through sat @ mi casa for ton`s birthday! we`ll have tons of food,sorry,negative
Had so much fun with jï¿½ and family  Happy bday my beautiful aunt! s2,Had so much fun with jï¿½ and family  Happy bday my beautiful aunt! s2,positive
" Ohhh, he is very regal man-cat! But he is blocked",blocked,negative
 ouch,ouch,neutral
TGIF!! Its a GORGEOUS day in Reno today. And I`m stuck inside.,TGIF!! Its a GORGEOUS day in Reno today. And I`m stuck inside.,neutral
 not having your lights on concerns me! Lol! Stay safe!,not having your lights on concerns me! Lol! Stay safe!,neutral
leave for calcutta-delhi-lucknow tomorrow...10 days of absence!!!,leave for calcutta-delhi-lucknow tomorrow...10 days of absence!!!,neutral
" 'A hike in the woods with four little kids couldn`t be that exhausting, right? Wrong.'  LOL.. Try downright masochistic!","'A hike in the woods with four little kids couldn`t be that exhausting, right? Wrong.'  LOL.. Try downright masochistic!",neutral
 I love you too baby  see i`m cool now!!!,love,positive
 it`s really gutwrenching.  So sad,So sad,negative
" I`M A JUMP OFF A BRIDGE... NOT REALLY, BUT I WANT TO VOTE  TELL THEM TO FIX IT, JUST 2 MORE DAYS YOU NEED TO WIN",S YOU NEED TO WIN,positive
this week has been awful.,awful.,negative
"deleted a lott of facebook friends, ask to be my friend again if you want. if not idgaf",if not idgaf,negative
 LOL yeah  I forgot about your TweetDeck statuses! So funny,o funny,positive
"Today is a sad day for Tucson: http://tr.im/mQ39 I shall miss the sour cream apple pie, fondue, and separate seating for groups with dogs",sad,negative
 Hey it`s that old writing avoidance  Write 1 continuous flow non stop 4 10 mins=trick I use 2 loosen up gremlins!,Hey it`s that old writing avoidance  Write 1 continuous flow non stop 4 10 mins=trick I use 2 loosen up gremlins!,neutral
 Not that funny! I wont jump,Not that funny!,negative
 sounds like a great idea.  wish I could make it,a great idea.,positive
" - Yes, you are addicted - half my twitter friend updates are yours",#NAME?,neutral
ive spent a lazy day today finding some interesting people to follow  its reinforced the saying... it takes all sorts of people ...,ive spent a lazy day today finding some interesting people to follow  its reinforced the saying... it takes all sorts of people ...,neutral
 it would be so fun.  too much to do.  not enough time or money.,it would be so fun.  too much to do.  not enough time or money.,neutral
 aw  were sad you had to leave tokyo. come back.please,e sad,negative
Stupid hand. Have A2 and flop nut low and top pair. But guy had also out low and out flush. Quartered.  at 5900.,Stupid,negative
awe.. gotta go.. my mom commands me to sleep already..,commands,negative
 CLAY AIKEN? GET ME AN AUTOGRAPH!,CLAY AIKEN? GET ME AN AUTOGRAPH!,neutral
 Morning Chip - loved the new html format on your ezine.,loved,positive
" ****, for reals? wtf",wtf,negative
" welcome back to school, don`t study too hard, take time off and smell roses too","welcome back to school, don`t study too hard, take time off and smell roses too",neutral
Long to-do list. Little desire to do it all.,Little desire to do it all.,negative
Off to bed .. Nighty night everyone,Off to bed .. Nighty night everyone,neutral
done with the packing and everything else ... leaving in 3 hours ...,done with the packing and everything else ... leaving in 3 hours ...,neutral
"_bandoni Ok, see you at da climbing","_bandoni Ok, see you at da climbing",neutral
"at workyy, trying to get on point with all that I have to do  smile!! <3Lin-Man tonight!!","at workyy, trying to get on point with all that I have to do  smile!! <3Lin-Man tonight!!",neutral
I think today I shall listen to some Gary Numan before starting some remixes,I think today I shall listen to some Gary Numan before starting some remixes,neutral
 Well I will send out an email and you all can pick your fave cake and ice cream flavor  and the 'cup' part is belgian chocolate,Well I will send out an email and you all can pick your fave cake and ice cream flavor  and the 'cup' part is belgian chocolate,neutral
 i know its awful  but never fear i`ve got loads of funds so we can have a drunken catch up post-exams ja?,i know its awful  but never fear i`ve got loads of funds so we can have a drunken catch up post-exams ja?,neutral
finish some sketches und then go out an skate! Yeeeehaaa! got a new deck,finish some sketches und then go out an skate! Yeeeehaaa! got a new deck,neutral
Download Backseat Goodbye`s latest album for FREE!  http://freecd.backseatgoodbye.com/,Download Backseat Goodbye`s latest album for FREE!,neutral
 i take it you`re not a fan,i take it you`re not a fan,negative
i have no followers,i have no followers,neutral
 Wow- you are sharing some of my long list.,Wow- you are sharing some of my long list.,neutral
Hubby needs a vacation  Thank God we`re leaving for Myrtle Beach in a week!,Thank God,positive
I just watched my favorite movie 'A Walk to Remember' its so romantic and sad i just love it,I just watched my favorite movie 'A Walk to Remember' its so romantic and sad i just love it,neutral
Sad babies make for angsty writing,Sad babies,negative
 Dude you are awesome,Dude you are awesome,positive
" fantastic, love all things Krautrock","fantastic,",positive
Went to see Wolverine with the husband (who is off work today) - was pretty good,good,positive
"It`s patio weather in Kirkland!  It`s also launch-yer-boat weather, except I`m missing the boat part",I`m missing the boat part,negative
 Just got it a few hours ago! So not yet!,Just got it a few hours ago! So not yet!,neutral
I`m an incredibly happy person with 100% energy. Love to dance & laugh...the only thing that I know.I`m one of the most down to earth ppl,I`m an incredibly happy person with 100% energy. Love to dance & laugh...t,positive
Just had a lovely walk with my dog ( all on my own! )...In the dark  But it was a nice walk though HEHE x.,lovely,positive
 ME TOO! hehe i hate colds. totaly annoying...,hate,negative
" lol,  on blip.fm is not the  on twitter! i hate that song btw",r! i hate that son,negative
" Awww, thanks Jon!  I appreciate that","Awww, thanks Jon!  I appreciate that",positive
About to get my wisdom teeth pulled!,About to get my wisdom teeth pulled!,neutral
On my way to work! I`m runnin late and I`m sooooo tired!,tired!,negative
trying to plan a huge birthday party by myself,trying to plan a huge birthday party by myself,neutral
"my ipod came back to me after visits to cali, china, and alaska...but its at home and im @ work...","my ipod came back to me after visits to cali, china, and alaska...but its at home and im @ work...",neutral
May the 4th be with you,May the 4th be with you,neutral
Why are embossers so expensive? Can I do get one on the cheap? Trying to save 75%. Papersource order goes in TONIGHT. Sry bank account,Why are embossers so expensive? Can I do get one on the cheap? Trying to save 75%. Papersource order goes in TONIGHT. Sry bank account,neutral
Sometimes i feel pathetic going to bed so early. Oh well.  i TOTALLY get clam chowder tomorrow! =D,Sometimes i feel pathetic going to bed so early. Oh,negative
good morning twiggas and twitches  http://bbltwt.com/sciif getcha motivation on,good,positive
 haha..yeah..10th of May..lol..im greeting in advance! haha,.im greeting in advance! haha,positive
listening to those litle hyperbirdies terrorizing the world since 4.30! lets cook em,terrorizing,negative
 i was in front of u the other day i waved and u didnt  off to eddie izzard now!,i was in front of u the other day i waved and u didnt  off to eddie izzard now!,neutral
 love it! Really its simple i think of a word and put twi on the front i should be more clever,love it! Really its simple i think of a word and put twi on the front i should be more clever,positive
" Thanks hun! I`m wearing my new goldmine e/s and big false lashes, but it doesn`t show!","Thanks hun! I`m wearing my new goldmine e/s and big false lashes, but it doesn`t show!",neutral
 have a safe flight...,have a safe flight...,positive
@ Sly party enjoying life  partying tonight.....maybe?,enjoying life  partying tonight.,positive
" I`ve had  for a while now, just in case. And yeah, I start work there again tomorrow. Very excited",y excited,positive
" Not a problem. I loved that idea, and of course the photos were just perfect!",perfect!,positive
  not even a little bit biKnightual  (ha ha... tweedeck doesn`t see the spelling problem with BK....ha!) but love it anyway.,not even a little bit biKnightual  (ha ha... tweedeck doesn`t see the spelling problem with BK....ha!) but love it anyway.,neutral
 no.  and she was suggesting it for loan deferment,s suggesting,positive
"srsly, BGT, joke maaan. how lame. ughhhh work tomorah have to get up early",ughhhh,negative
 I told u I tried but 88 said it was 2 late  cause the girl I was with took 4ever 2 get ready. they wanted to meet up by 11.,d it was 2 late,negative
 you traitor  whiskey and coke is my aphrodisiac,you traitor  whiskey and coke is my aphrodisiac,neutral
is still working  #fb,is still working  #fb,neutral
Got my attics w sadie art work included  good times just broke my head phones bad times still happy buy attics!,Got my attics w sadie art work included  good times just broke my head phones bad times still happy buy attics!,neutral
Being followed by compliance.  Great.   Have to watch what I say now.,Great.,positive
to the people i was txting... sorry phone is dead and i can`t resurrect it.  hopefully verizon will replace it and i`ll it back by tonight,to the people i was txting... sorry phone is dead and i can`t resurrect it.  hopefully verizon will replace it and i`ll it back by tonight,neutral
 hehe  now im smiling... but u still gotta make it up to me,m smiling,positive
i just fell going into my house.. not fun,not fun,negative
" awww bless him  i am indeed coming, 68 days woooo! are you?",awww bless him,positive
Just got a shot on my arm. Eww.,Just got a shot on my arm. Eww.,neutral
 So sorry I missed it!,sorry,negative
"trying to do a blend. i know, i suck at them but there`s no harm in trying.",suck,negative
Going home to get clothes,Going home to get clothes,neutral
 (votes) sadly no.. but did you vote for my log yet?  I`m gonna vote for yours,sadly,negative
"Happy Mother`s Day to all the amazing women who put up with us crazy, demanding children. Thank you.  Very very much.",Happy Mother`s Day to,positive
i cooked breakfast for my mom  HAPPY,HAPPY,positive
missing ontario..,missing ontario..,neutral
"You follow me , I follow you. As simple as that","You follow me , I follow you. As simple as that",neutral
had my lip pierced for about 30 minutes.  and then it died.,had my lip pierced for about 30 minutes.  and then it died.,neutral
 I was thinking the swine markets are in decline. But since we can`t say that anymore...,I was thinking the swine markets are in decline. But since we can`t say that anymore...,negative
They just admitted my grandma to the hospital... Shes my only last one  please pray for her,Shes my only last one,negative
tried  to sleep but i cant bout 2 call tisha,cant,negative
" it`s an awesome book, can`t wait for the film - enjoy and don`t be scared  x",enjoy,positive
 I love colorful horsies!,love,positive
 Morrissey cancelled on me,cancelled on me,negative
 Check out my latest FB post.  (Things I want to happen). I don`t think you can miss it.,Check out my latest FB post.  (Things I want to happen). I don`t think you can miss it.,neutral
"c`mon people, today is #juddday","c`mon people, today is #juddday",neutral
